,text,named_ents,named_ents_nolabel,chunk,compounds,verbs,re_subtree,re_chunk_v_chunk,adj,adj_noun,preps,noun_pre_noun
1855,"And the Affordable Care Act was meant to try to fill the gap between people who were too poor and couldn’t put together any resources to afford health care, namely people on Medicaid.","[('Affordable Care Act', 'WORK_OF_ART'), ('Medicaid', 'ORG')]","['Affordable Care Act', 'Medicaid']","['the Affordable Care Act', 'the gap', 'people', 'who', 'any resources', 'health care', 'namely people', 'Medicaid']","['Affordable Care Act', 'health care']","[meant, try, fill, were, put, afford]","('Medicaid', 'who', 'meant')","('Act who', 'mean', 'gap people resources care Medicaid')",[],['health care'],"[between, on]","['gap between people', 'people on Medicaid']"
1856,"Obviously, Medicare, which is a single-payer system, which takes care of our elderly and does a great job doing it, by the way, and then all of the people who were employed, but people who were working but didn’t have the money to afford insurance and didn’t have anybody, an employer or anybody else, to help them.","[('Medicare', 'ORG')]",['Medicare'],"['Medicare', 'a single-payer system', 'care', 'a great job', 'it', 'the way', 'the people', 'who', 'people', 'who', 'the money', 'insurance', 'anybody', 'an employer', 'anybody', 'them']",['single-payer system'],"[is, takes, does, doing, employed, working, have, afford, have, help]","('them', 'who', 'have')","('Medicare which which who who', 'single system great have', 'care elderly job it way people money insurance anybody them')","[single, great]",['great job'],"[of, by, of]",[]
1857,That was the slot that the Obamacare approach was to take.,"[('Obamacare', 'ORG')]",['Obamacare'],"['the slot', 'the Obamacare approach']",['Obamacare approach'],"[was, take]","('Obamacare approach', 'that', 'was')","('That approach', 'be slot', 'that')",[],['Obamacare approach'],[],[]
1858,"And like I say, 20 million people now have health insurance.","[('20 million', 'CARDINAL')]",['20 million'],"['I', '20 million people', 'health insurance']","['20 million', 'health insurance']","[say, have]","('people', 'health insurance', 'have')","('I people', 'have', 'insurance')",[],['health insurance'],[],[]
1859,"So if we just rip it up and throw it away, what Donald’s not telling you is we just turn it back to the insurance companies the way it used to be, and that means the insurance companies...","[('Donald', 'PERSON')]",['Donald'],"['we', 'it', 'it', 'what', 'Donald', 'you', 'we', 'it', 'the insurance companies', 'it', 'the insurance companies']","['insurance companies', 'insurance companies']","[rip, throw, telling, turn, used, be, means]","('that', 'insurance companies', 'is')","('we Donald telling we it that', 'be', 'it it you it companies companies')",[],"['insurance companies', 'insurance companies']",[to],[]
1860," 		  			 Secretary Clinton...  		  			 ... get to do pretty much whatever they want, including saying, look, I’m sorry, you’ve got diabetes, you had cancer, your child has asthma...","[('Clinton', 'PERSON')]",['Clinton'],"['Secretary Clinton', 'they', 'I', 'you', 'diabetes', 'you', 'cancer', 'your child', 'asthma']",['Secretary Clinton'],"[get, do, want, including, saying, look, ’m, got, had, has]","('child', 'asthma', 'get')","('they I you you child', 'get', 'whatever diabetes cancer asthma')",[],[],[including],[]
1861, 		  			 Your time is up.,[],[],['Your time'],[],[],"('time', '', 'is')","('time', 'be', '')",[],[],[],[]
1862, 		  			 ...,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1863,you may not be able to have insurance because you can’t afford it.,[],[],"['you', 'insurance', 'you', 'it']",[],"[be, have, afford]","('you', 'it', 'be')","('you you', 'be', 'insurance it')",[],[],[],[]
1864,"So let’s fix what’s broken about it, but let’s not throw it away and give it all back to the insurance companies and the drug companies.",[],[],"['’s', 'what', 'it', '’s', 'it', 'it', 'the insurance companies', 'the drug companies']","['insurance companies', 'drug companies']","[let, fix, broken, let, throw, give]","('insurance companies', '’s', 'let')","('’s what ’s', 'let', 'it it companies')",[],['insurance companies'],"[about, to]",[]
1865,That’s not going to work.,[],[],[],[],"[going, work]","('That', '', 'going')","('That', 'go', '')",[],[],[],[]
1866," 		  			 Mr. Trump, let me follow up on this.","[('Trump', 'PERSON')]",['Trump'],"[' \t\t  \t\t\t Mr. Trump', 'me']",[' \t\t  \t\t\t  Mr. Trump'],"[let, follow]","('me', 'this', 'let')","('Trump me', 'let', 'this')",[],[],[on],[]
1867, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1868,"Well, I just want — just one thing.","[('one', 'CARDINAL')]",['one'],"['I', 'just one thing']",[],[want],"('I', 'thing', 'want')","('I', 'want', 'thing')",[],[],[],[]
1869,"First of all, Hillary, everything’s broken about it.","[('First', 'ORDINAL'), ('Hillary', 'PERSON')]","['First', 'Hillary']","['Hillary', 'everything', 'it']",[],"[’s, broken]","('', 'it', '’s')","('', '’', 'all it')",[],[],"[of, about]",[]
1870,Everything.,[],[],['Everything'],[],[],"('', '', 'Everything')","('', 'everything', '')",[],[],[],[]
1871,"Number two, Bernie Sanders said that Hillary Clinton has very bad judgment.","[('Number two', 'CARDINAL'), ('Bernie Sanders', 'ORG'), ('Hillary Clinton', 'PERSON')]","['Number two', 'Bernie Sanders', 'Hillary Clinton']","['Bernie Sanders', 'Hillary Clinton', 'very bad judgment']","['Bernie Sanders', 'Hillary Clinton']","[said, has]","('Hillary Clinton', 'bad judgment', 'said')","('Sanders Clinton', 'say bad', 'judgment')",[bad],['bad judgment'],[],[]
1872,"This is a perfect example of it, trying to save Obamacare, which is a disaster.","[('Obamacare', 'ORG')]",['Obamacare'],"['a perfect example', 'it', 'Obamacare', 'a disaster']",[],"[trying, save, is]","('which', 'Obamacare', 'is')","('This which', 'be perfect example disaster', 'it Obamacare')",[perfect],[],[of],['perfect example of']
1873, 		  			 You’ve said you want to end Obamacare...  		  			 ,[],[],"['You', 'you', 'Obamacare']",[],"[said, want, end]","('you', 'Obamacare', ' \t\t  \t\t\t ')","('You you', 'say', 'Obamacare')",[],[],[],[]
1874,By the way...  		  			 ,[],[],['the way'],[],[],"('', ' \t\t  \t\t\t ', 'By')","('', 'by', 'way')",[],[],[],[]
1875,You’ve said you want to end Obamacare.,"[('Obamacare', 'ORG')]",['Obamacare'],"['You', 'you', 'Obamacare']",[],"[said, want, end]","('you', 'Obamacare', 'said')","('You you', 'say', 'Obamacare')",[],[],[],[]
1876,You’ve also said you want to make coverage accessible for people with pre-existing conditions.,[],[],"['You', 'you', 'coverage', 'people', 'pre-existing conditions']",[],"[said, want, make, existing]","('coverage', 'existing conditions', 'said')","('You you coverage', 'say pre - exist', 'people conditions')","[pre, -, existing]",['pre - conditions'],"[for, with]",['people with pre - existing conditions']
1877,How do you force insurance companies to do that if you’re no longer mandating that every American get insurance?,"[('American', 'NORP')]",['American'],"['you', 'insurance companies', 'you', 'every American', 'insurance']",['insurance companies'],"[force, do, mandating, get]","('American', 'insurance', 'force')","('you you American', 'force', 'companies that insurance')",[],['insurance companies'],[],[]
1878, 		  			 We’re going to be able to.,[],[],['We'],[],"[going, be]","('We', '', 'going')","('We', 'go', '')",[],[],[],[]
1879,You’re going to have plans...,[],[],"['You', 'plans']",[],"[going, have]","('You', 'plans', 'going')","('You', 'go', 'plans')",[],[],[],[]
1880, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1881,What does that mean?,[],[],['What'],[],[mean],"('that', 'What', 'mean')","('that', 'mean', 'What')",[],[],[],[]
1882, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1883,"Well, I’ll tell you what it means.",[],[],"['I', 'you', 'what', 'it']",[],"[tell, means]","('it', 'what', 'tell')","('I it', 'tell', 'you what')",[],[],[],[]
1884,"You’re going to have plans that are so good, because we’re going to have so much competition in the insurance industry.",[],[],"['You', 'plans', 'we', 'so much competition', 'the insurance industry']",['insurance industry'],"[going, have, are, going, have]","('we', 'insurance industry', 'going')","('You that we', 'go much', 'plans competition industry')",[much],"['much competition', 'insurance industry']",[in],['much competition in insurance industry']
1885,Once we break out — once we break out the lines and allow the competition to come...  		  			 Are you going — are you going to have a mandate that Americans have to have health insurance?,"[('Americans', 'NORP')]",['Americans'],"['we', 'we', 'the lines', 'the competition', 'you', 'you', 'a mandate', 'Americans', 'health insurance']",['health insurance'],"[break, break, allow, come, going, going, have, have, have]","('Americans', 'health insurance', 'going')","('we we competition you you Americans', 'go', 'lines mandate that insurance')",[],['health insurance'],[],[]
1886," 		  			 President Obama — Anderson, excuse me.","[('Obama', 'PERSON'), ('Anderson', 'PERSON')]","['Obama', 'Anderson']",['me'],[' \t\t  \t\t\t  President Obama'],[excuse],"('', 'me', 'excuse')","('', 'excuse', 'me')",[],[],[],[]
1887,"President Obama, by keeping those lines, the boundary lines around each state, it was almost gone until just very toward the end of the passage of Obamacare, which, by the way, was a fraud.","[('Obama', 'PERSON'), ('Obamacare', 'ORG')]","['Obama', 'Obamacare']","['President Obama', 'those lines', 'the boundary lines', 'each state', 'it', 'the end', 'the passage', 'Obamacare', 'the way', 'a fraud']",['President Obama'],"[keeping, gone, was]","('way', 'which', 'gone')","('Obama lines it which', 'boundary go fraud', 'lines state end passage Obamacare way')",[boundary],['boundary lines'],"[by, around, until, toward, of, of, by]","['boundary lines around state', 'end of passage', 'passage of Obamacare']"
1888,"You know that, because Jonathan Gruber, the architect of Obamacare, was said — he said it was a great lie, it was a big lie.","[('Jonathan Gruber', 'PERSON'), ('Obamacare', 'ORG')]","['Jonathan Gruber', 'Obamacare']","['You', 'Jonathan Gruber', 'the architect', 'Obamacare', 'he', 'it', 'a great lie', 'it', 'a big lie']",['Jonathan Gruber'],"[know, said, said]","('Obamacare', 'it', 'was')","('You Gruber he it it', 'great lie be big lie', 'that Obamacare')","[great, big]",[],[of],['architect of Obamacare']
1889,"President Obama said you keep your doctor, you keep your plan.","[('Obama', 'PERSON')]",['Obama'],"['President Obama', 'you', 'your doctor', 'you', 'your plan']",['President Obama'],"[said, keep, keep]","('you', 'plan', 'said')","('Obama you you', 'say', 'doctor plan')",[],[],[],[]
1890,"The whole thing was a fraud, and it doesn’t work.",[],[],"['The whole thing', 'a fraud', 'it']",[],[work],"('it', '', 'was')","('thing it', 'whole be fraud', '')",[whole],['whole thing'],[],[]
1891,"But when we get rid of those lines, you will have competition, and we will be able to keep pre-existing, we’ll also be able to help people that can’t get — don’t have money because we are going to have people protected.",[],[],"['we', 'those lines', 'you', 'competition', 'we', 'we', 'people', 'money', 'we', 'people']",[],"[rid, have, be, keep, existing, be, help, get, have, going, have, protected]","('money', 'people', 'be')","('we you we we that we people', 'be', 'lines competition pre existing people money')",[],[],[of],[]
1892,"And Republicans feel this way, believe it or not, and strongly this way.","[('Republicans', 'NORP')]",['Republicans'],"['Republicans', 'it', 'strongly this way']",[],"[feel, believe]","('Republicans', 'it', 'feel')","('Republicans', 'feel', 'it')",[],[],[],[]
1893,We’re going to block grant into the states.,[],[],"['We', 'grant', 'the states']",[],"[going, block]","('We', 'states', 'going')","('We', 'go', 'grant states')",[],[],[into],[]
1894,We’re going to block grant into Medicaid into the states...,"[('Medicaid', 'ORG')]",['Medicaid'],"['We', 'grant', 'Medicaid', 'the states']",[],"[going, block]","('We', 'states', 'going')","('We', 'go', 'grant Medicaid states')",[],[],"[into, into]",['grant into Medicaid']
1895," 		  			 Thank you, Mr. Trump.","[('Trump', 'PERSON')]",['Trump'],['you'],['Mr. Trump'],[Thank],"(' \t\t  \t\t\t ', 'you', 'Thank')","('', 'thank', 'you')",[],[],[],[]
1896, 		  			 ...,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1897,so that we will be able to take care of people without the necessary funds to take care of themselves.,[],[],"['we', 'care', 'people', 'the necessary funds', 'care', 'themselves']",[],"[be, take, take]","('we', 'themselves', 'be')","('we', 'be necessary', 'care people funds care themselves')",[necessary],['necessary funds'],"[of, without, of]",[]
1898," 		  			 Thank you, Mr. Trump.","[('Trump', 'PERSON')]",['Trump'],['you'],['Mr. Trump'],[Thank],"(' \t\t  \t\t\t ', 'you', 'Thank')","('', 'thank', 'you')",[],[],[],[]
1899,We now go to Gorbah Hamed with a question for both candidates.,"[('Gorbah Hamed', 'GPE')]",['Gorbah Hamed'],"['We', 'Gorbah', 'a question', 'both candidates']",[],"[go, Hamed]","('We', 'candidates', 'go')","('We', 'go', 'Gorbah question candidates')",[],[],"[to, with, for]",['question for candidates']
1900,Hi.,[],[],[],[],[],"('', '', 'Hi')","('', 'hi', '')",[],[],[],[]
1901,"There are 3.3 million Muslims in the United States, and I’m one of them.","[('3.3 million', 'CARDINAL'), ('Muslims', 'NORP'), ('the United States', 'GPE')]","['3.3 million', 'Muslims', 'the United States']","['3.3 million Muslims', 'the United States', 'I', 'them']","['3.3 million', 'United States']",[’m],"('I', 'them', 'are')","('I', 'be Muslims one', 'States them')",[],[],"[in, of]",[]
1902,"You’ve mentioned working with Muslim nations, but with Islamophobia on the rise, how will you help people like me deal with the consequences of being labeled as a threat to the country after the election is over?","[('Muslim', 'NORP'), ('Islamophobia', 'ORG')]","['Muslim', 'Islamophobia']","['You', 'Muslim nations', 'Islamophobia', 'the rise', 'you', 'people', 'me', 'the consequences', 'a threat', 'the country', 'the election']",[],"[mentioned, working, help, deal, labeled, is]","('election', 'country', 'help')","('You you people election', 'muslim help', 'nations Islamophobia rise me consequences threat country')",[Muslim],['Muslim nations'],"[with, on, like, with, of, as, to]","['people like', 'consequences of', 'threat to country']"
1903,"Mr. Trump, you’re first.","[('Trump', 'PERSON'), ('first', 'ORDINAL')]","['Trump', 'first']",['you'],['Mr. Trump'],[’re],"('you', '', '’re')","('you', '’re', '')",[],[],[],[]
1904, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1905,"Well, you’re right about Islamophobia, and that’s a shame.","[('Islamophobia', 'ORG')]",['Islamophobia'],"['you', 'Islamophobia', 'a shame']",[],"[’re, ’s]","('that', 'Islamophobia', '’re')","('you that', '’re shame', 'Islamophobia')",[],[],[about],[]
1906,But one thing we have to do is we have to make sure that — because there is a problem.,"[('one', 'CARDINAL')]",['one'],"['one thing', 'we', 'we', 'a problem']",[],"[have, do, have, make, is]","('that', '', 'is')","('thing we we that', 'be problem', '')",[],[],[],[]
1907,"I mean, whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem.",[],[],"['I', 'we', 'it', 'we', 'we', 'it', 'a problem']",[],"[mean, like, be, like, is]","('we', 'it', 'like')","('I we we we', 'mean like problem', 'it it')",[],[],[],[]
1908,And we have to be sure that Muslims come in and report when they see something going on.,"[('Muslims', 'NORP')]",['Muslims'],"['we', 'Muslims', 'they', 'something']",[],"[have, be, come, report, see, going]","('something', '', 'have')","('we Muslims they something', 'have', '')",[],[],[],[]
1909,"When they see hatred going on, they have to report it.",[],[],"['they', 'hatred', 'they', 'it']",[],"[see, going, have, report]","('they', 'it', 'have')","('they hatred they', 'have', 'it')",[],[],[],[]
1910,"As an example, in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people.","[('San Bernardino', 'GPE'), ('two', 'CARDINAL'), ('14', 'CARDINAL')]","['San Bernardino', 'two', '14']","['an example', 'San Bernardino', 'many people', 'the bombs', 'the apartment', 'the two people', 'many, many people']",['San Bernardino'],"[saw, killed, wounded]","('that', 'many people', 'saw')","('people that', 'many see many many', 'example Bernardino bombs apartment people 14 people')","[many, many, many]","['many people', 'many many people']","[As, in, over, of]",['apartment of people']
1911,Horribly wounded.,[],[],[],[],[wounded],"('', '', 'wounded')","('', 'wound', '')",[],[],[],[]
1912,They’ll never be the same.,[],[],['They'],[],[be],"('They', '', 'be')","('They', 'be same', '')",[],[],[],[]
1913,Muslims have to report the problems when they see them.,"[('Muslims', 'NORP')]",['Muslims'],"['Muslims', 'the problems', 'they', 'them']",[],"[have, report, see]","('they', 'them', 'have')","('Muslims they', 'have', 'problems them')",[],[],[],[]
1914,"And, you know, there’s always a reason for everything.",[],[],"['you', 'a reason', 'everything']",[],"[know, ’s]","('you', 'everything', '’s')","('you', '’ reason', 'everything')",[],[],[for],['reason for']
1915,"If they don’t do that, it’s a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.","[('Orlando', 'GPE'), ('San Bernardino', 'LOC'), ('the World Trade Center', 'ORG')]","['Orlando', 'San Bernardino', 'the World Trade Center']","['they', 'it', 'a very difficult situation', 'our country', 'you', 'Orlando', 'you', 'San Bernardino', 'you', 'the World Trade Center']","['San Bernardino', 'World Trade Center']","[do, ’s, look, look, look]","('you', 'Trade Center', '’s')","('they it you you you', '’ difficult situation', 'that country Orlando Bernardino Center')",[difficult],[],"[for, at, at, at]",['difficult situation for country']
1916,Go outside.,[],[],[],[],[Go],"('', '', 'Go')","('', 'go', '')",[],[],[],[]
1917,Look at Paris.,"[('Paris', 'GPE')]",['Paris'],['Paris'],[],[Look],"('', 'Paris', 'Look')","('', 'look', 'Paris')",[],[],[at],[]
1918,Look at that horrible — these are radical Islamic terrorists.,[],[],['radical Islamic terrorists'],[],[Look],"('these', 'horrible', 'are')","('these', 'be radical islamic terrorist', 'horrible')","[radical, Islamic]",[],[at],[]
1919,And she won’t even mention the word and nor will President Obama.,"[('Obama', 'PERSON')]",['Obama'],"['she', 'the word', 'President Obama']",['President Obama'],[mention],"('President Obama', 'word', 'mention')","('she Obama', 'mention', 'word')",[],[],[],[]
1920,He won’t use the term “radical Islamic terrorism.”,"[('Islamic', 'NORP')]",['Islamic'],"['He', 'the term', '“radical Islamic terrorism']",[],[use],"('He', 'term', 'use')","('He', 'use radical islamic', 'term')","[radical, Islamic]",[],[],[]
1921,"Now, to solve a problem, you have to be able to state what the problem is or at least say the name.",[],[],"['a problem', 'you', 'what', 'the problem', 'the name']",[],"[solve, have, be, state, say]","('problem', 'name', 'have')","('you problem', 'have what', 'problem name')",[],[],[],[]
1922,She won’t say the name and President Obama won’t say the name.,"[('Obama', 'PERSON')]",['Obama'],"['She', 'the name', 'President Obama', 'the name']",['President Obama'],"[say, say]","('name', 'name', 'say')","('She name', 'say', 'name')",[],[],[],[]
1923,But the name is there.,[],[],['the name'],[],[],"('name', '', 'is')","('name', 'be', '')",[],[],[],[]
1924,It’s radical Islamic terror.,"[('Islamic', 'NORP')]",['Islamic'],"['It', 'radical Islamic terror']",[],[’s],"('It', '', '’s')","('It', '’ radical islamic terror', '')","[radical, Islamic]",[],[],[]
1925,"And before you solve it, you have to say the name.",[],[],"['you', 'it', 'you', 'the name']",[],"[solve, have, say]","('you', 'name', 'have')","('you you', 'have', 'it name')",[],[],[],[]
1926, 		  			 Secretary Clinton?,"[('Clinton', 'PERSON')]",['Clinton'],[' \t\t  \t\t\t Secretary Clinton'],[' \t\t  \t\t\t  Secretary Clinton'],[],"('', '', 'Clinton')","('', 'Clinton', '')",[],[],[],[]
1927, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
1928,"Well, thank you for asking your question.",[],[],"['you', 'your question']",[],"[thank, asking]","('', 'question', 'thank')","('', 'thank', 'you question')",[],[],[for],[]
1929,"And I’ve heard this question from a lot of Muslim-Americans across our country, because, unfortunately, there’s been a lot of very divisive, dark things said about Muslims.","[('Muslim', 'NORP'), ('Muslims', 'NORP')]","['Muslim', 'Muslims']","['I', 'this question', 'a lot', 'Muslim-Americans', 'our country', 'a lot', 'very divisive, dark things', 'Muslims']",['Muslim -'],"[heard, been, said]","('I', 'Muslims', 'heard')","('I', 'hear lot divisive dark', 'question lot Americans country things Muslims')","[divisive, dark]",['divisive dark things'],"[from, of, across, of, about]","['lot of Muslim Americans', 'lot of divisive dark things']"
1930,"And even someone like Captain Khan, the young man who sacrificed himself defending our country in the United States Army, has been subject to attack by Donald.","[('Khan', 'PERSON'), ('the United States Army', 'GPE'), ('Donald', 'PERSON')]","['Khan', 'the United States Army', 'Donald']","['even someone', 'Captain Khan', 'the young man', 'who', 'himself', 'our country', 'the United States Army', 'attack', 'Donald']","['Captain Khan', 'United States Army']","[sacrificed, defending, been]","('who', 'Donald', 'been')","('someone who', 'young be', 'Khan himself country Army attack Donald')",[young],[],"[like, in, to, by]",['attack by Donald']
1931,I want to say just a couple of things.,[],[],"['I', 'just a couple', 'things']",[],"[want, say]","('I', 'things', 'want')","('I', 'want', 'couple things')",[],[],[of],['couple of things']
1932,"First, we’ve had Muslims in America since George Washington.","[('First', 'ORDINAL'), ('’ve', 'ORG'), ('Muslims', 'NORP'), ('America', 'GPE'), ('George Washington', 'PERSON')]","['First', '’ve', 'Muslims', 'America', 'George Washington']","['we', 'Muslims', 'America', 'George Washington']",['George Washington'],[had],"('we', 'George Washington', 'had')","('we', 'have', 'Muslims America Washington')",[],[],"[in, since]",[]
1933,And we’ve had many successful Muslims.,"[('’ve', 'ORG'), ('Muslims', 'NORP')]","['’ve', 'Muslims']","['we', 'many successful Muslims']",[],[had],"('we', 'successful Muslims', 'had')","('we', 'have many successful', 'Muslims')","[many, successful]",[],[],[]
1934,We just lost a particular well-known one with Muhammad Ali.,"[('Muhammad Ali', 'PERSON')]",['Muhammad Ali'],"['We', 'a particular well-known one', 'Muhammad Ali']",['Muhammad Ali'],"[lost, known]","('We', 'Muhammad Ali', 'lost')","('We', 'lose particular know', 'one Ali')","[particular, known]",['particular one'],[with],['particular known one with Muhammad Ali']
1935,"My vision of America is an America where everyone has a place, if you’re willing to work hard, you do your part, you contribute to the community.","[('America', 'GPE'), ('America', 'GPE')]","['America', 'America']","['My vision', 'America', 'an America', 'everyone', 'a place', 'you', 'you', 'your part', 'you', 'the community']",[],"[has, ’re, work, do, contribute]","('you', 'community', 'contribute')","('vision everyone you you you', 'America contribute', 'America place part community')",[],[],"[of, to]",['vision of America']
1936,That’s what America is.,"[('America', 'GPE')]",['America'],"['what', 'America']",[],[’s],"('America', '', '’s')","('That America', '’ what', '')",[],[],[],[]
1937,That’s what we want America to be for our children and our grandchildren.,"[('America', 'GPE')]",['America'],"['what', 'we', 'America', 'our children', 'our grandchildren']",[],"[’s, want, be]","('America', 'children', '’s')","('That we America', '’', 'what children')",[],[],[for],[]
1938,It’s also very short-sighted and even dangerous to be engaging in the kind of demagogic rhetoric that Donald has about Muslims.,"[('Donald', 'PERSON'), ('Muslims', 'NORP')]","['Donald', 'Muslims']","['It', 'the kind', 'demagogic rhetoric', 'Donald', 'Muslims']",[],"[’s, engaging, has]","('Donald', 'Muslims', '’s')","('It Donald', '’ short demagogic', 'kind rhetoric that Muslims')","[short, demagogic]",['demagogic rhetoric'],"[in, of, about]",['kind of demagogic rhetoric']
1939,We need American Muslims to be part of our eyes and ears on our front lines.,"[('American Muslims', 'NORP')]",['American Muslims'],"['We', 'American Muslims', 'part', 'our eyes', 'ears', 'our front lines']",[],"[need, be]","('American Muslims', 'front lines', 'need')","('We Muslims', 'need american part front', 'eyes lines')","[American, front]",['front lines'],"[of, on]","['part of eyes', 'part on front lines']"
1940,I’ve worked with a lot of different Muslim groups around America.,"[('Muslim', 'NORP'), ('America', 'GPE')]","['Muslim', 'America']","['I', 'a lot', 'different Muslim groups', 'America']",[],[worked],"('I', 'America', 'worked')","('I', 'work different muslim', 'lot groups America')","[different, Muslim]",['different Muslim groups'],"[with, of, around]","['lot of different Muslim groups', 'different Muslim groups around America']"
1941,"I’ve met with a lot of them, and I’ve heard how important it is for them to feel that they are wanted and included and part of our country, part of our homeland security, and that’s what I want to see.",[],[],"['I', 'a lot', 'them', 'I', 'it', 'them', 'they', 'our country', 'our homeland security', 'what', 'I']",['homeland security'],"[met, heard, feel, wanted, included, ’s, want, see]","('what', 'I', 'met')","('I I it them they that I', 'meet', 'lot them country security what')",[],['homeland security'],"[with, of, of, of]","['lot of', 'part of country', 'part of homeland security']"
1942,"It’s also important I intend to defeat ISIS, to do so in a coalition with majority Muslim nations.","[('ISIS', 'ORG'), ('Muslim', 'NORP')]","['ISIS', 'Muslim']","['It', 'I', 'ISIS', 'a coalition', 'majority Muslim nations']",[],"[’s, intend, defeat, do]","('I', 'Muslim nations', '’s')","('It I', '’ majority muslim', 'ISIS coalition nations')","[majority, Muslim]",['Muslim nations'],"[in, with]",['coalition with majority Muslim nations']
1943,"Right now, a lot of those nations are hearing what Donald says and wondering, why should we cooperate with the Americans?","[('Donald', 'PERSON'), ('Americans', 'NORP')]","['Donald', 'Americans']","['a lot', 'those nations', 'what', 'Donald', 'we', 'the Americans']",[],"[hearing, says, wondering, cooperate]","('we', 'Americans', 'hearing')","('lot Donald we', 'hear', 'nations what Americans')",[],[],"[of, with]",['lot of nations']
1944,"And this is a gift to ISIS and the terrorists, violent jihadist terrorists.","[('ISIS', 'ORG')]",['ISIS'],"['a gift', 'ISIS', 'the terrorists', 'violent jihadist terrorists']",['jihadist terrorists'],[],"('this', 'ISIS', 'is')","('this', 'be gift violent', 'ISIS')",[violent],[],[to],['gift to ISIS']
1945,We are not at war with Islam.,"[('Islam', 'ORG')]",['Islam'],"['We', 'war', 'Islam']",[],[],"('We', 'Islam', 'are')","('We', 'be', 'war Islam')",[],[],"[at, with]",['war with Islam']
1946,And it is a mistake and it plays into the hands of the terrorists to act as though we are.,[],[],"['it', 'a mistake', 'it', 'the hands', 'the terrorists', 'we']",[],"[plays, act, are]","('we', 'terrorists', 'is')","('it it we', 'be mistake', 'hands terrorists')",[],[],"[into, of]",['hands of terrorists']
1947,So I want a country where citizens like you and your family are just as welcome as anyone else.,[],[],"['I', 'a country', 'citizens', 'you', 'your family', 'anyone']",[],"[want, are]","('citizens', 'anyone', 'want')","('I citizens', 'want', 'country you anyone')",[],[],"[like, as]",['citizens like']
1948," 		  			 Thank you, Secretary Clinton.","[('Clinton', 'PERSON')]",['Clinton'],['you'],['Secretary Clinton'],[Thank],"(' \t\t  \t\t\t ', 'you', 'Thank')","('', 'thank', 'you')",[],[],[],[]
1949,"Mr. Trump, in December, you said this.","[('Trump', 'PERSON'), ('December', 'DATE')]","['Trump', 'December']","['Mr. Trump', 'December', 'you']",['Mr. Trump'],[said],"('you', 'this', 'said')","('Trump you', 'say', 'December this')",[],[],[in],[]
1950,“Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country’s representatives can figure out what the hell is going on.,"[('Donald J. Trump', 'PERSON'), ('Muslims', 'NORP'), ('the United States', 'GPE')]","['Donald J. Trump', 'Muslims', 'the United States']","['Donald J. Trump', 'a total and complete shutdown', 'Muslims', 'the United States', 'our country’s representatives', 'what', 'the hell']","['Donald J. Trump', 'United States']","[calling, entering, figure, going]","('hell', 'what', 'calling')","('Trump representatives hell', '"" call total', 'shutdown Muslims States what')",[total],['total shutdown'],"[for, of]",['total shutdown of Muslims']
1951,We have no choice.,[],[],"['We', 'no choice']",[],[have],"('We', 'choice', 'have')","('We', 'have', 'choice')",[],[],[],[]
1952,We have no choice.”,[],[],"['We', 'no choice']",[],[have],"('We', 'choice', 'have')","('We', 'have', 'choice')",[],[],[],[]
1953,Your running mate said this week that the Muslim ban is no longer your position.,"[('this week', 'DATE'), ('Muslim', 'NORP')]","['this week', 'Muslim']","['Your running mate', 'the Muslim ban', 'your position']",['running mate'],[said],"('Muslim ban', '', 'said')","('mate ban', 'say Muslim position', '')",[Muslim],['running mate'],[],[]
1954,Is that correct?,[],[],[],[],[],"('that', '', 'Is')","('that', 'be', '')",[],[],[],[]
1955,"And if it is, was it a mistake to have a religious test?",[],[],"['it', 'it', 'a mistake', 'a religious test']",[],"[is, have]","('it', 'religious test', 'was')","('it it', 'be mistake religious', 'test')",[religious],['religious test'],[],[]
1956, 		  			 ,[],[],[],[],[],"('', '', ' \t\t  \t\t\t ')","('', '', '')",[],[],[],[]
